SALES_NAME,DIVISION,CUSTOMER_NAME,CUSTOMER_SAP,CUSTOMER_STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NONE,Package Whs,ADVANCE STABILINDO INDONESIA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
NONE,Package Whs,ANDALAN DUNIA SEMESTA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
NONE,Package Whs,ANTARA CIPTA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,BAHANA PRESTASI,8000000027,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,BDP INDONESIA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
ADIT,Package Whs,CIPTA MORTAR UTAMA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
ADIT,Package Whs,DUNIA KIMIA JAYA,8000000015,EXISTING,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000
EDWIN,Package Whs,ECCO INDONESIA,3000009088,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,ECCO TANNERY INDONESIA,3000001618,EXISTING,184000000,184000000,184000000,184000000,184000000,184000000,184000000,184000000,184000000,184000000,184000000,184000000
EDWIN,Package Whs,ILC LOGISTICS INDONESIA,3000008124,EXISTING,450000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000
EDWIN,Package Whs,LAM SENG HANG RESIN,3000013377,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,LAUTAN LUAS TBK,8000000010,EXISTING,222600000,222600000,222600000,222600000,222600000,222600000,222600000,222600000,222600000,222600000,222600000,222600000
ADIT,Package Whs,NIRWANA LESTARI,3000007550,EXISTING,525000000,420000000,315000000,400000000,300000000,350000000,350000000,350000000,350000000,350000000,400000000,500000000
NONE,Package Whs,PERUSAHAAN INDUSTRI,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
NONE,Package Whs,PPG COATINGS INDONESIA,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,PRIMA MAS MAKMUR,3000007612,EXISTING,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
EDWIN,Package Whs,SCIENTEX INDONESIA,3000007677,EXISTING,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000
EDWIN,Package Whs,SINAR MAS AGRO RESOURCES AND,3000005193,EXISTING,1092000000,1092000000,1092000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000,690000000
EDWIN,Package Whs,SSI PRIMA MAS,3000007728,EXISTING,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000
NONE,Package Whs,SYSPEX MULTITECH,0,EXISTING,0,0,0,0,0,0,0,0,0,0,0,0
ADIT,Package Whs,TIRTA INVESTAMA,3000009257,EXISTING,402083333,402083333,402083333,402083333,402083333,402083333,402083333,402083333,402083333,402083333,402083333,402083333
EDWIN,Package Whs,CIPTA LOGISTIK INDONESIA,8000000065,NEW,0,0,0,0,0,0,0,0,0,0,0,0
ADIT,Package Whs,HASA PRIMA KIMIA,3000020184,NEW,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000
EDWIN,Package Whs,GCM MARKETING SOLUTIONS INDONESIA,3000019518,NEW,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000
EDWIN,Package Whs,ASIAN PAINTS INDONESIA,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
NONE,Package Whs,AVIAN GROUP,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,AZELIS,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,BAYER,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
NONE,Package Whs,BSA,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,CARGIL COCOA,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,DANONE NUTRICIA,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
EDWIN,Package Whs,DB SCHENKER,0,POTENTIAL,50000000,75000000,75000000,100000000,50000000,50000000,50000000,50000000,50000000,50000000,75000000,75000000
NONE,Package Whs,ECCO,0,POTENTIAL,0,0,0,0,0,0,0,0,0,0,0,0
