SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;Freight Forwarding BP;TIRTA INVESTAMA;3000009257;Existing;0;0;0;0;0;0;1800000000;1685000000;1685000000;1885000000;1885000000;1885000000
ADIT;Freight Forwarding BP;MUSIMAS GROUP;0;Existing;0;0;0;0;0;0;70000000;70000000;80000000;80000000;90000000;90000000
ADIT;Freight Forwarding BP;CATUR MITRA SEJATI SENTOSA;3000001105;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;ROLIMEX KIMIA NUSAMAS;3000011817;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;DUNIA KIMIA JAYA;8000000015;Existing;0;0;0;0;0;0;25000000;25000000;25000000;30000000;30000000;30000000
ADIT;Freight Forwarding BP;UNIVERSAL STEELINDO DINAMIKA;3000016892;Existing;0;0;0;0;0;0;50000000;50000000;50000000;60000000;60000000;60000000
ADIT;Freight Forwarding BP;MITRAMULIA MAKMUR;3000019455;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;ATLANTIC OCEAN PAINT;3000000615;Existing;0;0;0;0;0;0;15000000;15000000;15000000;30000000;30000000;30000000
ADIT;Freight Forwarding BP;BEHN MEYER CHEMICALS;3211070000;Existing;0;0;0;0;0;0;25000000;25000000;25000000;25000000;25000000;25000000
ADIT;Freight Forwarding BP;INDOFOOD CBP SUKSES MAKMUR Tbk;3000002495;Existing;0;0;0;0;0;0;10000000;10000000;10000000;15000000;15000000;15000000
ADIT;Freight Forwarding BP;INDOFOOD SUKSES MAKMUR TBK;3000002496;Existing;0;0;0;0;0;0;5000000;5000000;5000000;5000000;5000000;5000000
ADIT;Freight Forwarding BP;PEMUDA PRIMA USAHA;3000020980;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;TRISULAMAS SAKTI;3000007827;Existing;0;0;0;0;0;0;5000000;5000000;5000000;5000000;5000000;5000000
ADIT;Freight Forwarding BP;MAQPRO BIOTECH INDONESIA;3000017469;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;GOLD COIN INDONESIA;3000002009;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;SEJAHTERA MITRA TRISUKSES;3000015283;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;GLOBE EXPRESS LOGISTICS CO.LTD;3000007275;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;SINAR MAS AGRO RESOURCES AND;3000005193;Existing;0;0;0;0;0;0;250000000;250000000;250000000;200000000;250000000;250000000
EDWIN;Freight Forwarding BP;GCM MARKETING SOLUTIONS INDONESIA;3000019518;Existing;0;0;0;0;0;0;70000000;80000000;90000000;100000000;110000000;120000000
EDWIN;Freight Forwarding BP;LAUTAN LUAS TBK;8000000010;Existing;0;0;0;0;0;0;40000000;45000000;50000000;55000000;60000000;65000000
EDWIN;Freight Forwarding BP;PERTAMINA PETROCHEMICAL TRADING;3000020764;Existing;0;0;0;0;0;0;100000000;100000000;100000000;100000000;100000000;100000000
EDWIN;Freight Forwarding BP;ELECTROLUX INDONESIA;3211020000;Existing;0;0;0;0;0;0;15000000;15000000;15000000;20000000;20000000;20000000
EDWIN;Freight Forwarding BP;LIKU TELAGA;8000000017;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;RAPINDO PLASTAMA;3000004648;Existing;0;0;0;0;0;0;25000000;25000000;25000000;25000000;25000000;25000000
EDWIN;Freight Forwarding BP;INSERASENA;3000002599;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;SCIENTEX INDONESIA;3000007677;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;JADI MAS;3000002723;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;AZELIS INDONESIA DISTRIBUSI;3000019640;Existing;0;0;0;0;0;0;3000000;3000000;3000000;3000000;3000000;3000000
ZUFEN;Freight Forwarding BP;INDONESIA PRATAMA MULTIPAK;3000013037;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ZUFEN;Freight Forwarding BP;PKG LAUTAN INDONESIA;8000000520;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;DOMUSINDO PERDANA;0;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;LINTAS MITRA JAYA;0;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;INDOSPRING TBK;3000019189;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;PRIMA MAS MAKMUR;3000007612;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;UNIPLASTINDO INTERBUANA;3000010657;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;ASIA TRADE LOGISTICS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;JACOBIS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;SIANTAR TOP;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;TUMBAK MAS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;AVIAN GROUP ;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;WARU GUNUNG;3000006280;Potential;0;0;0;0;0;0;0;60000000;60000000;60000000;60000000;60000000
ADIT;Freight Forwarding BP;JADIMAS;0;Potential;0;0;0;0;0;0;0;0;0;50000000;0;0
ADIT;Freight Forwarding BP;ASIA PULP & PAPER;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;GRAND MULTI CHEMICALS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Freight Forwarding BP;VISTON SPESIALISASI;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;AJINOMOTO INDONESIA;3000000215;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Freight Forwarding BP;INDOCERIA;0;Potential;0;0;0;0;0;0;0;55000000;55000000;55000000;55000000;55000000
EDWIN;Freight Forwarding BP;ALLNEXRESIN;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
