SALES_NAME;DIVISION;CUSTOMER_NAME;CUSTOMER_SAP;CUSTOMER_STATUS;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADIT;Pack Trans;TIRTA INVESTAMA;3000009257;Existing;0;0;0;0;0;0;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000
ADIT;Pack Trans;NIRWANA LESTARI;3000007550;Existing;0;0;0;0;0;0;300000000;300000000;350000000;400000000;360000000;356000000
ADIT;Pack Trans;GREENFIELDS DAIRY INDONESIA;0;Existing;0;0;0;0;0;0;150000000;250000000;250000000;250000000;250000000;250000000
ADIT;Pack Trans;INBISCO NIAGATAMA SEMESTA;3000018615;Existing;0;0;0;0;0;0;100000000;100000000;100000000;120000000;120000000;120000000
ADIT;Pack Trans;KINO FOOD INDONESIA;3000017669;Existing;0;0;0;0;0;0;25000000;25000000;25000000;35000000;35000000;35000000
ADIT;Pack Trans;WARU GUNUNG;3000006280;Existing;0;0;0;0;0;0;0;30000000;30000000;30000000;30000000;30000000
ADIT;Pack Trans;UNICHEMCANDI INDONESIA;3000009294;Existing;0;0;0;0;0;0;50000000;50000000;60000000;60000000;70000000;70000000
ADIT;Pack Trans;MULTI ANUGERAH LESTARI TEXINDO;3000003865;Existing;0;0;0;0;0;0;40000000;40000000;50000000;50000000;60000000;60000000
ADIT;Pack Trans;OMYA INDONESIA;3000004138;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;QL HASIL LAUT;0;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;BATARA ELOK SEMESTA;3000008794;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;MITRA MULIA;3000019455;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;SUKSES LINTAS PULAU;3000020742;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;THE UNIVENUS;3000005833;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;UNIFOOD CANDI INDONESIA;3000020869;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;MIKATASA AGUNG;3000003715;Existing;0;0;0;0;0;0;10000000;10000000;10000000;15000000;15000000;15000000
ADIT;Pack Trans;BEHN MEYER CHEMICALS;3211070000;Existing;0;0;0;0;0;0;10000000;10000000;10000000;15000000;15000000;15000000
ADIT;Pack Trans;RAPID PLAST INDONESIA;3000014770;Existing;0;0;0;0;0;0;10000000;10000000;10000000;15000000;15000000;15000000
ADIT;Pack Trans;PASIFIC HARVEST;3000016893;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;MAQPRO BIOTECH INDONESIA;3000017469;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;JATIM MUSTIKA SARANA STEEL;3000010143;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;AQUA GOLDEN MISSISSIPPI;3000015223;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;SINAR MAS AGRO RESOURCES AND;3000005193;Existing;0;0;0;0;0;0;800000000;350000000;350000000;350000000;350000000;350000000
EDWIN;Pack Trans;LAUTAN LUAS TBK;8000000010;Existing;0;0;0;0;0;0;300000000;300000000;300000000;300000000;300000000;300000000
EDWIN;Pack Trans;AJINOMOTO SALES INDONESIA;3000000217;Existing;0;0;0;0;0;0;125000000;125000000;125000000;145000000;145000000;155000000
EDWIN;Pack Trans;SINAR SOSRO;3000005216;Existing;0;0;0;0;0;0;150000000;250000000;150000000;150000000;150000000;150000000
EDWIN;Pack Trans;SCIENTEX INDONESIA;3000007677;Existing;0;0;0;0;0;0;70000000;70000000;70000000;70000000;70000000;70000000
EDWIN;Pack Trans;RAPINDO PLASTAMA;3000004648;Existing;0;0;0;0;0;0;20000000;20000000;30000000;30000000;30000000;40000000
EDWIN;Pack Trans;ECCO TANNERY INDONESIA;3000001618;Existing;0;0;0;0;0;0;20000000;20000000;25000000;25000000;30000000;30000000
EDWIN;Pack Trans;LIKU TELAGA;8000000017;Existing;0;0;0;0;0;0;15000000;15000000;20000000;20000000;20000000;25000000
EDWIN;Pack Trans;ADITYA RIZKY VALENTINO;3000019373;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;GCM MARKETING SOLUTIONS INDONESIA;3000019518;Existing;0;0;0;0;0;0;7500000;7500000;7500000;10000000;10000000;10000000
EDWIN;Pack Trans;PERTAMINA PETROCHEMICAL TRADING;3000020764;Existing;0;0;0;0;0;0;10000000;10000000;10000000;10000000;10000000;10000000
EDWIN;Pack Trans;ADYA MANDALA PERSADA;3000019596;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;CIPTA MAPAN LOGISTIK;8000000019;Existing;0;0;0;0;0;0;4000000;4000000;4000000;5000000;5000000;5000000
EDWIN;Pack Trans;VEOLIA SERVICES INDONESIA;3000021348;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;DYNAPLAST;3000001607;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;AZELIS INDONESIA DISTRIBUSI;3000019640;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;ANDALAN DUNIA SEMESTA;3000014429;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;HASA PRIMA KIMIA;3000020184;Existing;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;MEGA MURNI KIMIA;3000009517;Existing;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;LOTTE GLOBAL LOGISTICS INDONESIA;0;Existing;0;0;0;0;0;0;15000000;15000000;25000000;25000000;35000000;35000000
ADIT;Pack Trans;DAYASA ARIA PRIMA;0;New;0;0;0;0;0;0;50000000;50000000;50000000;65000000;65000000;65000000
ADIT;Pack Trans;ANUGERAH MITRA ANANTA;3000021761;New;0;0;0;0;0;0;40000000;40000000;50000000;50000000;50000000;60000000
ADIT;Pack Trans;GLOBAL INTERINTI INDUSTRY;0;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;SUPARMA TBK;0;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;SINARMAS DISTRIBUSI NUSANTARA;3000013775;New;0;0;0;0;0;0;20000000;0;0;20000000;0;0
EDWIN;Pack Trans;CIPTA LOGISTIK INDONESIA;8000000065;New;0;0;0;0;0;0;15000000;0;0;15000000;0;0
EDWIN;Pack Trans;GRAND MULTI CHEMICALS;0;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;KAPIT MAS;0;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;SUENHO PERKASA;3000005394;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;PADI FLOUR NUSANTARA;3000022471;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;HOKKAN DELTAPACK IND;0;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;UNIPLASTINDO INTERBUANA;3000010657;New;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;YUAN FENG INDONESIA;0;New;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;INDOLAKTO;0;Potential;0;0;0;0;0;0;50000000;50000000;50000000;65000000;65000000;65000000
ADIT;Pack Trans;HEINEKEN;0;Potential;0;0;0;0;0;0;0;150000000;150000000;100000000;200000000;200000000
ADIT;Pack Trans;EASTERN PEARL FLOUR MILL;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;MAYORA INDAH Tbk.;0;Potential;0;0;0;0;0;0;0;200000000;200000000;175000000;200000000;200000000
ADIT;Pack Trans;BEHN MEYER AGRICARE;0;Potential;0;0;0;0;0;0;40000000;40000000;40000000;45000000;50000000;60000000
ADIT;Pack Trans;SALIM IVOMAS PRATAMA TBK;3000004855;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;JACOBIS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;FKS GROUP;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;HON CUAN INDONESIA;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;MULTI ANEKA PANGAN;3000012177;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;OTSUKA INDONESIA;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
ADIT;Pack Trans;DINAMIKA MEGATAMA CITRA;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;INDONESIA PRATAMA MULTIPAK;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;JASUINDO TIGA PERKASA;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;MASTER BUILDER SOLUTION;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;DSM NUTRITIONAL PRODUCTS;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;TANIHUB;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
EDWIN;Pack Trans;MATAHARI SAKTI;0;Potential;0;0;0;0;0;0;0;0;0;0;0;0
